"ENSEMBL_clean","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","GENENAME","ENTREZID"
"ENSG00000147168",27.3284547791978,1.22599376702376,0.199304913408881,6.15134743070079,7.68274107676464e-10,1.6323634169297e-07,"ENSG00000147168.8","IL2RG","interleukin 2 receptor subunit gamma","3561"
"ENSG00000147246",109.31552513028,-1.04359681140209,0.297078994466861,-3.51285964621945,0.000443311587076861,0.00223105557292458,"ENSG00000147246.5","HTR2C","5-hydroxytryptamine receptor 2C","3358"
"ENSG00000147432",18.2921296250949,-1.17912519650581,0.332692448650172,-3.54418984046633,0.000393821566380144,0.00204243418415394,"ENSG00000147432.2","CHRNB3","cholinergic receptor nicotinic beta 3 subunit","1142"
"ENSG00000147434",13.3785966950593,-1.22672515263585,0.36168209793594,-3.39172206652353,0.000694548547556506,0.00315377473686695,"ENSG00000147434.4","CHRNA6","cholinergic receptor nicotinic alpha 6 subunit","8973"
"ENSG00000147571",159.40176887173,-1.66361529221987,0.368784173620067,-4.51108103661135,6.44980725585665e-06,9.31071741343272e-05,"ENSG00000147571.3","CRH","corticotropin releasing hormone","1392"
"ENSG00000147697",4.9671628196869,-1.14052730116287,0.450089920534569,-2.53399876142144,0.0112769130316749,0.0289353811456501,"ENSG00000147697.4","GSDMC","gasdermin C","56169"
"ENSG00000148082",356.86761824522,-1.1071956018657,0.257855455062453,-4.29386146435231,1.75592064660682e-05,0.000192536582921531,"ENSG00000148082.5","SHC3","SHC adaptor protein 3","53358"
"ENSG00000148386",7.22676154070834,1.04488552780381,0.357945179034921,2.91912166723683,0.00351019192274129,0.0113991972045047,"ENSG00000148386.5","LCN9","lipocalin 9","392399"
"ENSG00000148773",6.1660264968126,1.12309068993349,0.417527125797802,2.6898628149908,0.00714813974184167,0.0200382080132242,"ENSG00000148773.8","MKI67","marker of proliferation Ki-67","4288"
"ENSG00000148926",348.373077157266,1.4487658973203,0.317497890080896,4.56307251979271,5.04103922635329e-06,7.8357951495029e-05,"ENSG00000148926.5","ADM","adrenomedullin","133"
"ENSG00000149257",1132.29710250119,2.71513226294868,0.317552475470449,8.55018452911208,1.22891878902681e-17,7.27471328503975e-14,"ENSG00000149257.9","SERPINH1","serpin family H member 1","871"
"ENSG00000149305",67.8874281711636,-1.04757217872161,0.315001168145497,-3.3256136314953,0.000882241305661412,0.0038140853946055,"ENSG00000149305.2","HTR3B","5-hydroxytryptamine receptor 3B","9177"
"ENSG00000149451",743.680484288584,1.2656930510528,0.184008217089306,6.87845940292175,6.05032867740091e-12,5.02207531867663e-09,"ENSG00000149451.13","ADAM33","ADAM metallopeptidase domain 33","80332"
"ENSG00000149573",124.479536772642,1.30264577400645,0.340845524514135,3.82180688997849,0.000132477415615902,0.00088930755221981,"ENSG00000149573.3","MPZL2","myelin protein zero like 2","10205"
"ENSG00000149781",183.43395633088,1.02621352688263,0.219366400049368,4.67807980917624,2.8957384493576e-06,5.25614789211517e-05,"ENSG00000149781.8","FERMT3","FERM domain containing kindlin 3","83706"
